column_name,attribute,verb,neg_verb,data_type
VENT_ORDER,ventilator order,is,,categorical
MIN_SPO2,lowest oxigen saturation,is,,numerical
O2_DEVICE,oxygen device,is,,categorical
INV_FLOW,inverse flow,is,,numerical
INV_O2_CONCENTRATION,oxygen concentration,is,,numerical
MAX_TEMP,highest temperature,is,,numerical
MAX_RR,highest respiratory rate,is,,numerical
MAX_SYSTOLIC,highest systolic,is,,numerical
PAO2,PaO2,is,,categorical
PH,pH,is,,categorical
AST,AST,is,,categorical
CALCIUM,calcium ,is,,categorical
HGB,hemoglobin,is,,categorical
MCV,MCV,is,,categorical
METHGB,MetHb,is,,categorical
CRP,c-reactive protein,is,,categorical
BASE_DEFICIENCY,base deficiency,is,,categorical
LACTIC_ACID,lactic acid,is,,categorical
PACO2,PaCO2,is,,categorical
ALT,ALT,is,,categorical
AMYLASE,amylase,is,,categorical
CREATININE,creatinine,is,,categorical
SODIUM,sodium,is,,categorical
POTASSIUM,potassium,is,,categorical
CARBOXYHGB,carboxyhemoglobin,is,,categorical
PTT,PTT,is,,categorical
D_DIMER,D-Dimer,is,,categorical
LYMPHS_ABS,absolute lymphocytes,is,,categorical
LDH,LDH,is,,categorical
HIGH_SENSITIVITY_D_DIMER,D-Dimer high sensitivity,is,,categorical
PLATELET,platelet count,is,,categorical
INTERLEUKIN_6,interleukin 6,is,,categorical
HGBA1C,HbA1c,is,,categorical
MED_PER_DAY,medical order,is,,categorical
MAR_PER_DAY,MAR documentation,is,,categorical
SYMPTOM_ACTIVITY,symptoms ,are,,categorical
GENERAL_MOBILITY,mobility ,is,,categorical
RSN_FOR_VISIT,reason for visit,is,,categorical
ENC_DX,diagnosis,is,,categorical
PAO2_RANGE,PaO2 normal range,is,,categorical
PH_RANGE,pH normal range,is,,categorical
AST_RANGE,AST normal range,is,,categorical
CALCIUM_RANGE,calcium normal range,is,,categorical
HGB_RANGE,hemoglobin normal range,is,,categorical
MCV_RANGE,MCV normal range,is,,categorical
METHGB_RANGE,MetHb normal range,is,,categorical
CRP_RANGE,c-reactive protein normal range,is,,categorical
BASE_DEFICIENCY_RANGE,base deficiency normal range,is,,categorical
LACTIC_ACID_RANGE,lactic acid normal range,is,,categorical
PACO2_RANGE,PaCO2 normal range,is,,categorical
ALT_RANGE,ALT normal range,is,,categorical
AMYLASE_RANGE,amylase normal range,is,,categorical
CREATININE_RANGE,creatinine normal range,is,,categorical
SODIUM_RANGE,sodium normal range,is,,categorical
POTASSIUM_RANGE,potassium normal range,is,,categorical
CARBOXYHGB_RANGE,carboxyhemoglobin normal range,is,,categorical
PTT_RANGE,PTT normal range,is,,categorical
D_DIMER_RANGE,D-Dimer normal range,is,,categorical
LYMPHS_ABS_RANGE,absolute lymphocytes normal range,is,,categorical
LDH_RANGE,LDH normal range,is,,categorical
HIGH_SENSITIVITY_D_DIMER_RANGE,D-Dimer high sensitivity normal range,is,,categorical
PLATELET_RANGE,platelet count normal range,is,,categorical
INTERLEUKIN_6_RANGE,interleukin 6 normal range,is,,categorical
HGBA1C_RANGE,HbA1c normal range,is,,categorical
