column_name,attribute,verb,neg_verb,data_type
ATTENDING_PER_DAY,number of attending physicians,is,,categorical
DIAS_BP_AMP,highest diastolic BP,is,,numerical
HR_AVG,average heart rate,is,,numerical
DYSPNEA,dyspnea,has,does not have,binary
RESPRATE_LAST,most recent respiratory rate,is,,numerical
RESPRATE_AVG,average respiratory rate,is,,numerical
RESPRATE_AMP,highest recorded respiratory rate,is,,numerical
O2SAT_AMP,highest recorded oxygen saturation,is,,numerical
RASS_LAST,most recent RASS,is,,categorical
RASS_AMP,highest recorded RASS score,is,,numerical
RASS_AVG,average RASS score,is,,numerical
IPA_ANTICIPATE_SELFCARE,expected to go home and be independent,is,is not,binary
IPA_DIFFICULTY_AMBULATING,ambulating difficulty,is,,categorical
IPA_FALL_PREVENTION_LEVEL,fall prevention level,is,,numerical
FALL_LAST,fall risk score,is,,numerical
IPA_INDEPENDENT_ADL,self care independently,performs,does not perform,binary
IPA_LIVES,residency,is,,categorical
IPA_TROUBLE_SWALLOW,trouble swallowing,has,does not have,binary
LAST_PAIN_SCORE,most recent pain score,is,,categorical
LAST_GLASCOW_SCORE,most recent Glascow Coma score,is,,numerical
NUTRITION_NPO,NPO,is,is not,binary
