column_name,attribute,verb,neg_verb,data_type
MRI,pending MRI,has,does not have,binary
CT,pending CT scan,has,does not have ,binary
ECHO,pending echocardiogram,has,does not have,binary
IMAGING_OTHERS,pending imaging,has,does not have ,binary
CAM,Confusion Assessment Method,is,,categorical
NA,sodium value,is,,categorical
NA_RANGE,sodium normal range,is,,categorical
K,potassium value,is,,categorical
K_RANGE,potassium normal range,is,,categorical
CL,chlorine value,is,,categorical
CL_RANGE,chlorine normal range,is,,categorical
CA,calcium value,is,,categorical
CA_RANGE,calcium normal range,is,,categorical
MG,magnesium value,is,,categorical
MG_RANGE,magnsium normal range,is,,categorical
IV_VASOPRESSORS_YN,on IV vasopressors,is,is not,binary
IV_ANTIBIOTICS_YN,on IV antibiotics,is,is not,binary
IV_PAINMED_YN,on IV pain medications,is,is not,binary
