,id,Recency,Frequency,Monetary,Time,target
0,0,2,50,12500,98,1
1,1,0,13,3250,28,1
2,2,1,16,4000,35,1
3,3,2,20,5000,45,1
4,4,1,24,6000,77,0
5,5,4,4,1000,4,0
6,6,2,7,1750,14,1
7,7,1,12,3000,35,0
8,8,2,9,2250,22,1
9,9,5,46,11500,98,1
10,10,4,23,5750,58,0
11,11,0,3,750,4,0
12,12,2,10,2500,28,1
13,13,1,13,3250,47,0
14,14,2,6,1500,15,1
15,15,2,5,1250,11,1
16,16,2,14,3500,48,1
17,17,2,15,3750,49,1
18,18,2,6,1500,15,1
19,19,2,3,750,4,1
20,20,2,3,750,4,1
21,21,4,11,2750,28,0
22,22,2,6,1500,16,1
23,23,2,6,1500,16,1
24,24,9,9,2250,16,0
25,25,4,14,3500,40,0
26,26,4,6,1500,14,0
27,27,4,12,3000,34,1
28,28,4,5,1250,11,1
29,29,4,8,2000,21,0
30,30,1,14,3500,58,0
31,31,4,10,2500,28,1
32,32,4,10,2500,28,1
33,33,4,9,2250,26,1
34,34,2,16,4000,64,0
35,35,2,8,2000,28,1
36,36,2,12,3000,47,1
37,37,4,6,1500,16,1
38,38,2,14,3500,57,1
39,39,4,7,1750,22,1
40,40,2,13,3250,53,1
41,41,2,5,1250,16,0
42,42,2,5,1250,16,1
43,43,2,5,1250,16,0
44,44,4,20,5000,69,1
45,45,4,9,2250,28,1
46,46,2,9,2250,36,0
47,47,2,2,500,2,0
48,48,2,2,500,2,0
49,49,2,2,500,2,0
50,50,2,11,2750,46,0
51,51,2,11,2750,46,1
52,52,2,6,1500,22,0
53,53,2,12,3000,52,0
54,54,4,5,1250,14,1
55,55,4,19,4750,69,1
56,56,4,8,2000,26,1
57,57,2,7,1750,28,1
58,58,2,16,4000,81,0
59,59,3,6,1500,21,0
60,60,2,7,1750,29,0
61,61,2,8,2000,35,1
62,62,2,10,2500,49,0
63,63,4,5,1250,16,1
64,64,2,3,750,9,1
65,65,3,16,4000,74,0
66,66,2,4,1000,14,1
67,67,0,2,500,4,0
68,68,4,7,1750,25,0
69,69,1,9,2250,51,0
70,70,2,4,1000,16,0
71,71,2,4,1000,16,0
72,72,4,17,4250,71,1
73,73,2,2,500,4,0
74,74,2,2,500,4,1
75,75,2,2,500,4,1
76,76,2,4,1000,16,1
77,77,2,2,500,4,0
78,78,2,2,500,4,0
79,79,2,2,500,4,0
80,80,4,6,1500,23,1
81,81,2,4,1000,16,0
82,82,2,4,1000,16,0
83,83,2,4,1000,16,0
84,84,2,6,1500,28,1
85,85,2,6,1500,28,0
86,86,4,2,500,4,0
87,87,4,2,500,4,0
88,88,4,2,500,4,0
89,89,2,7,1750,35,1
90,90,4,2,500,4,1
91,91,4,2,500,4,0
92,92,4,2,500,4,0
93,93,4,2,500,4,0
94,94,12,11,2750,23,0
95,95,4,7,1750,28,0
96,96,3,17,4250,86,0
97,97,4,9,2250,38,1
98,98,4,4,1000,14,1
99,99,5,7,1750,26,1
100,100,4,8,2000,34,1
101,101,2,13,3250,76,1
102,102,4,9,2250,40,0
103,103,2,5,1250,26,0
104,104,2,5,1250,26,0
105,105,6,17,4250,70,0
106,106,0,8,2000,59,0
107,107,3,5,1250,26,0
108,108,2,3,750,14,0
109,109,2,10,2500,64,0
110,110,4,5,1250,23,1
111,111,4,9,2250,46,0
112,112,4,5,1250,23,0
113,113,4,8,2000,40,1
114,114,2,12,3000,82,0
115,115,11,24,6000,64,0
116,116,2,7,1750,46,1
117,117,4,11,2750,61,0
118,118,1,7,1750,57,0
119,119,2,11,2750,79,1
120,120,2,3,750,16,1
121,121,4,5,1250,26,1
122,122,2,6,1500,41,1
123,123,2,5,1250,33,1
124,124,2,4,1000,26,0
125,125,2,5,1250,34,0
126,126,4,8,2000,46,1
127,127,2,4,1000,26,0
128,128,4,8,2000,48,1
129,129,2,2,500,10,1
130,130,4,5,1250,28,0
131,131,2,12,3000,95,0
132,132,2,2,500,10,0
133,133,4,6,1500,35,0
134,134,2,11,2750,88,0
135,135,2,3,750,19,0
136,136,2,5,1250,37,0
137,137,2,12,3000,98,0
138,138,9,5,1250,19,0
139,139,2,2,500,11,0
140,140,2,9,2250,74,0
141,141,5,14,3500,86,0
142,142,4,3,750,16,0
143,143,4,3,750,16,0
144,144,4,2,500,9,1
145,145,4,3,750,16,1
146,146,6,3,750,14,0
147,147,2,2,500,11,0
148,148,2,2,500,11,1
149,149,2,2,500,11,0
150,150,2,7,1750,58,1
151,151,4,6,1500,39,0
152,152,4,11,2750,78,0
153,153,2,1,250,2,1
154,154,2,1,250,2,0
155,155,2,1,250,2,0
156,156,2,1,250,2,0
157,157,2,1,250,2,0
158,158,2,1,250,2,0
159,159,2,1,250,2,0
160,160,2,1,250,2,0
161,161,2,1,250,2,0
162,162,2,1,250,2,0
163,163,2,1,250,2,1
164,164,2,1,250,2,1
165,165,2,1,250,2,1
166,166,2,1,250,2,0
167,167,2,1,250,2,0
168,168,2,1,250,2,0
169,169,2,1,250,2,0
170,170,2,1,250,2,0
171,171,2,1,250,2,0
172,172,2,1,250,2,0
173,173,2,1,250,2,0
174,174,2,1,250,2,0
175,175,11,10,2500,35,0
176,176,11,4,1000,16,1
177,177,4,5,1250,33,1
178,178,4,6,1500,41,1
179,179,2,3,750,22,0
180,180,4,4,1000,26,1
181,181,10,4,1000,16,0
182,182,2,4,1000,35,0
183,183,4,12,3000,88,0
184,184,13,8,2000,26,0
185,185,11,9,2250,33,0
186,186,4,5,1250,34,0
187,187,4,4,1000,26,0
188,188,8,15,3750,77,0
189,189,4,5,1250,35,1
190,190,4,7,1750,52,0
191,191,4,7,1750,52,0
192,192,2,4,1000,35,0
193,193,11,11,2750,42,0
194,194,2,2,500,14,0
195,195,2,5,1250,47,1
196,196,9,8,2000,38,1
197,197,4,6,1500,47,0
198,198,11,7,1750,29,0
199,199,9,9,2250,45,0
200,200,4,6,1500,52,0
201,201,4,7,1750,58,0
202,202,6,2,500,11,1
203,203,4,7,1750,58,0
204,204,11,9,2250,38,0
205,205,11,6,1500,26,0
206,206,2,2,500,16,0
207,207,2,7,1750,76,0
208,208,11,6,1500,27,0
209,209,11,3,750,14,0
210,210,4,1,250,4,0
211,211,4,1,250,4,0
212,212,4,1,250,4,0
213,213,4,1,250,4,0
214,214,4,1,250,4,0
215,215,4,1,250,4,1
216,216,4,1,250,4,0
217,217,4,1,250,4,0
218,218,4,1,250,4,0
219,219,4,1,250,4,0
220,220,4,1,250,4,0
221,221,4,1,250,4,1
222,222,4,1,250,4,1
223,223,4,1,250,4,0
224,224,4,1,250,4,1
225,225,4,1,250,4,1
226,226,4,1,250,4,0
227,227,4,3,750,24,0
228,228,4,1,250,4,0
229,229,4,1,250,4,0
230,230,4,1,250,4,0
231,231,4,1,250,4,1
232,232,4,1,250,4,0
233,233,10,8,2000,39,0
234,234,14,7,1750,26,0
235,235,8,10,2500,63,0
236,236,11,3,750,15,0
237,237,4,2,500,14,0
238,238,2,4,1000,43,0
239,239,8,9,2250,58,0
240,240,8,8,2000,52,1
241,241,11,22,5500,98,0
242,242,4,3,750,25,1
243,243,11,17,4250,79,1
244,244,9,2,500,11,0
245,245,4,5,1250,46,0
246,246,11,12,3000,58,0
247,247,7,12,3000,86,0
248,248,11,2,500,11,0
249,249,11,2,500,11,0
250,250,11,2,500,11,0
251,251,2,6,1500,75,0
252,252,11,8,2000,41,1
253,253,11,3,750,16,1
254,254,12,13,3250,59,0
255,255,2,3,750,35,0
256,256,16,8,2000,28,0
257,257,11,7,1750,37,0
258,258,4,3,750,28,0
259,259,12,12,3000,58,0
260,260,4,4,1000,41,0
261,261,11,14,3500,73,1
262,262,2,2,500,23,0
263,263,2,3,750,38,1
264,264,4,5,1250,58,0
265,265,4,4,1000,43,1
266,266,3,2,500,23,0
267,267,11,8,2000,46,0
268,268,4,7,1750,82,0
269,269,13,4,1000,21,0
270,270,16,11,2750,40,0
271,271,16,7,1750,28,0
272,272,7,2,500,16,0
273,273,4,5,1250,58,0
274,274,4,5,1250,58,0
275,275,4,4,1000,46,0
276,276,14,13,3250,57,0
277,277,4,3,750,34,0
278,278,14,18,4500,78,0
279,279,11,8,2000,48,0
280,280,14,16,4000,70,0
281,281,14,4,1000,22,1
282,282,14,5,1250,26,0
283,283,8,2,500,16,0
284,284,11,5,1250,33,0
285,285,11,2,500,14,0
286,286,4,2,500,23,0
287,287,9,2,500,16,1
288,288,14,5,1250,28,1
289,289,14,3,750,19,1
290,290,14,4,1000,23,1
291,291,16,12,3000,50,0
292,292,11,4,1000,28,0
293,293,11,5,1250,35,0
294,294,11,5,1250,35,0
295,295,2,4,1000,70,0
296,296,14,5,1250,28,0
297,297,14,2,500,14,0
298,298,14,2,500,14,0
299,299,14,2,500,14,0
300,300,14,2,500,14,0
301,301,14,2,500,14,0
302,302,14,2,500,14,0
303,303,2,3,750,52,0
304,304,14,6,1500,34,0
305,305,11,5,1250,37,1
306,306,4,5,1250,74,0
307,307,11,3,750,23,0
308,308,16,4,1000,23,0
309,309,16,3,750,19,0
310,310,11,5,1250,38,0
311,311,11,2,500,16,0
312,312,12,9,2250,60,0
313,313,9,1,250,9,0
314,314,9,1,250,9,0
315,315,4,2,500,29,0
316,316,11,2,500,17,0
317,317,14,4,1000,26,0
318,318,11,9,2250,72,1
319,319,11,5,1250,41,0
320,320,15,16,4000,82,0
321,321,9,5,1250,51,1
322,322,11,4,1000,34,0
323,323,14,8,2000,50,1
324,324,16,7,1750,38,0
325,325,14,2,500,16,0
326,326,2,2,500,41,0
327,327,14,16,4000,98,0
328,328,14,4,1000,28,1
329,329,16,7,1750,39,0
330,330,14,7,1750,47,0
